bot_id,name,description,total_trades,wins,losses,win_rate,initial_bankroll,final_bankroll,total_profit,roi,total_wagered,total_fees,max_win_streak,max_loss_streak
s3_sentiment_odds65_wait7,Sentiment 65c (Wait 7m),"Bets WITH the favorite when YES/NO hits 65c, after 7 min",23,15,8,65.21739130434783,1000,938.1693540000001,-61.83064599999989,-6.183064599999988,230,2.830646000000001,5,3
s2_dynamic_wait5_edge20,"Dynamic Wait 5m, Edge 20%","Waits 5 min, then enters when edge >= 20%",12,3,9,25.0,1000,934.944921,-65.05507899999998,-6.505507899999998,120,4.055079000000001,2,5
s2_dynamic_wait5_edge10,"Dynamic Wait 5m, Edge 10%","Waits 5 min, then enters when edge >= 10%",16,6,10,37.5,1000,931.5102699999997,-68.48973000000035,-6.848973000000035,160,4.48973,2,5
s2_dynamic_wait5_edge12,"Dynamic Wait 5m, Edge 12%","Waits 5 min, then enters when edge >= 12%",16,6,10,37.5,1000,931.3861459999997,-68.61385400000029,-6.861385400000029,160,4.613854000000001,2,5
s2_dynamic_wait5_edge5,"Dynamic Wait 5m, Edge 5%","Waits 5 min, then enters when edge >= 5%",16,6,10,37.5,1000,929.6857949999995,-70.31420500000047,-7.031420500000047,160,4.314205,2,5
s2_dynamic_scaled_wait3,Dynamic Scaled (Wait 3m),"Waits 3 min, scales bet size with edge (more edge = bigger bet)",16,7,9,43.75,1000,928.9808860000002,-71.01911399999983,-7.101911399999983,244.67999999999995,8.339114000000002,2,3
s2_dynamic_wait2_edge10,"Dynamic Wait 2m, Edge 10%","Waits 2 min, then enters when edge >= 10%",16,5,11,31.25,1000,927.710919,-72.28908100000001,-7.228908100000001,160,5.2890809999999995,2,5
s2_dynamic_wait5_edge15,"Dynamic Wait 5m, Edge 15%","Waits 5 min, then enters when edge >= 15%",14,4,10,28.57142857142857,1000,925.7071309999998,-74.29286900000022,-7.429286900000022,140,4.2928690000000005,1,5
s2_dynamic_wait3_edge15,"Dynamic Wait 3m, Edge 15%","Waits 3 min, then enters when edge >= 15%",15,4,11,26.666666666666668,1000,923.8781769999999,-76.12182300000006,-7.612182300000006,150,5.121823000000001,1,6
s2_dynamic_wait3_edge12,"Dynamic Wait 3m, Edge 12%","Waits 3 min, then enters when edge >= 12%",16,5,11,31.25,1000,923.7496150000001,-76.25038499999994,-7.625038499999993,160,5.2503850000000005,1,5
s2_dynamic_scaled_wait5,Dynamic Scaled (Wait 5m),"Waits 5 min, scales bet size with edge",16,6,10,37.5,1000,829.1811120000001,-170.8188879999999,-17.081888799999987,324.76,10.058888000000001,2,5
